#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 639    -5.962167   -0.15779429E+00
 640    -5.961167   -0.15740586E+00
 641    -5.960167   -0.15700581E+00
 642    -5.959167   -0.15659430E+00
 643    -5.958167   -0.15617144E+00
 644    -5.957167   -0.15573738E+00
 645    -5.956167   -0.15529228E+00
 646    -5.955167   -0.15483628E+00
 647    -5.954167   -0.15436956E+00
 648    -5.953167   -0.15389227E+00
 649    -5.952167   -0.15340460E+00
 650    -5.951167   -0.15290672E+00
 651    -5.950167   -0.15239882E+00
 652    -5.949167   -0.15188109E+00
 653    -5.948167   -0.15135374E+00
 654    -5.947167   -0.15081695E+00
 655    -5.946167   -0.15027094E+00
 656    -5.945167   -0.14971592E+00
 657    -5.944167   -0.14915211E+00
 658    -5.943167   -0.14857972E+00
 659    -5.942167   -0.14799898E+00
 660    -5.941167   -0.14741012E+00
 661    -5.940167   -0.14681336E+00
 662    -5.939167   -0.14620896E+00
 663    -5.938167   -0.14559714E+00
 664    -5.937167   -0.14497814E+00
 665    -5.936167   -0.14435221E+00
 666    -5.935167   -0.14371961E+00
 667    -5.934167   -0.14308057E+00
 668    -5.933167   -0.14243535E+00
 669    -5.932167   -0.14178421E+00
 670    -5.931167   -0.14112739E+00
 671    -5.930167   -0.14046517E+00
 672    -5.929167   -0.13979780E+00
 673    -5.928167   -0.13912553E+00
 674    -5.927167   -0.13844864E+00
 675    -5.926167   -0.13776738E+00
 676    -5.925167   -0.13708202E+00
 677    -5.924167   -0.13639282E+00
 678    -5.923167   -0.13570005E+00
 679    -5.922167   -0.13500397E+00
 680    -5.921167   -0.13430485E+00
 681    -5.920167   -0.13360295E+00
 682    -5.919167   -0.13289855E+00
 683    -5.918167   -0.13219189E+00
 684    -5.917167   -0.13148325E+00
 685    -5.916167   -0.13077290E+00
 686    -5.915167   -0.13006108E+00
 687    -5.914167   -0.12934807E+00
 688    -5.913167   -0.12863412E+00
 689    -5.912167   -0.12791950E+00
 690    -5.911167   -0.12720445E+00
 691    -5.910167   -0.12648925E+00
 692    -5.909167   -0.12577413E+00
 693    -5.908167   -0.12505935E+00
 694    -5.907167   -0.12434517E+00
 695    -5.906167   -0.12363183E+00
 696    -5.905167   -0.12291958E+00
 697    -5.904167   -0.12220866E+00
 698    -5.903167   -0.12149931E+00
 699    -5.902167   -0.12079177E+00
 700    -5.901167   -0.12008627E+00
 701    -5.900167   -0.11938306E+00
 702    -5.899167   -0.11868236E+00
 703    -5.898167   -0.11798439E+00
 704    -5.897167   -0.11728939E+00
 705    -5.896167   -0.11659757E+00
 706    -5.895167   -0.11590916E+00
 707    -5.894167   -0.11522436E+00
 708    -5.893167   -0.11454339E+00
 709    -5.892167   -0.11386645E+00
 710    -5.891167   -0.11319376E+00
 711    -5.890167   -0.11252550E+00
 712    -5.889167   -0.11186189E+00
 713    -5.888167   -0.11120311E+00
 714    -5.887167   -0.11054936E+00
 715    -5.886167   -0.10990081E+00
 716    -5.885167   -0.10925766E+00
 717    -5.884167   -0.10862007E+00
 718    -5.883167   -0.10798823E+00
 719    -5.882167   -0.10736231E+00
 720    -5.881167   -0.10674247E+00
 721    -5.880167   -0.10612888E+00
 722    -5.879167   -0.10552168E+00
 723    -5.878167   -0.10492105E+00
